movie name,year,IMDB rating,votes,genre,movie gross,runtime
Into the Wild,2007,8.1,611148,Adventure,18354356,148
Jaws,1975,8.1,581543,Adventure,260000000,124
L.A. Confidential,1997,8.3,570530,Crime,64616940,138
"Lock, Stock and Two Smoking Barrels",1998,8.2,570160,Action,3897569,107
There Will Be Blood,2007,8.2,568467,Drama,40222514,158
Oldboy,2003,8.4,560731,Action,707481,120
Rocky,1976,8.1,558906,Drama,117235247,120
Casablanca,1942,8.5,558582,Drama,1024560,102
1917,2019,8.2,546873,Action,159227644,119
Monty Python and the Holy Grail,1975,8.2,530632,Adventure,1229197,91
Casino,1995,8.2,504993,Crime,42438300,178
Hacksaw Ridge,2016,8.1,500105,Biography,67209615,139
"Three Billboards Outside Ebbing, Missouri",2017,8.1,488807,Comedy,54513740,115
Spider-Man: Into the Spider-Verse,2018,8.4,486645,Animation,190241310,117
Rear Window,1954,8.5,479762,Mystery,36764313,112
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,479446,Comedy,275902,95
Coco,2017,8.4,474777,Animation,209726015,105
Dead Poets Society,1989,8.1,470685,Comedy,95860116,128
Rush,2013,8.1,467702,Action,26947624,123
Warrior,2011,8.2,462671,Action,13657115,140
Green Book,2018,8.2,462113,Biography,85080171,130
Spotlight,2015,8.1,458595,Biography,45055776,129
The Help,2011,8.1,449081,Drama,169708112,146
Beauty and the Beast,1991,8,441045,Animation,218967620,84
Citizen Kane,1941,8.3,433627,Drama,1585634,119
The Thing,1982,8.2,408583,Horror,13782838,109
Room,2015,8.1,407981,Drama,14677674,118
Platoon,1986,8.1,405983,Drama,138530565,120
Unforgiven,1992,8.2,403407,Drama,101157447,130
Aladdin,1992,8,401701,Animation,217350219,90
Vertigo,1958,8.3,393793,Mystery,3200000,128
Amadeus,1984,8.4,392884,Biography,51973029,160
Stand by Me,1986,8.1,392515,Adventure,52287414,89
Life of Brian,1979,8,392217,Comedy,20045115,94
The Exorcist,1973,8.1,391067,Horror,232906145,122
The Wizard of Oz,1939,8.1,389059,Adventure,2076020,102
3 Idiots,2009,8.4,384926,Comedy,6532908,170
The Lives of Others,2006,8.4,382653,Drama,11286112,137
Princess Mononoke,1997,8.4,381009,Animation,2375308,134
Howl's Moving Castle,2004,8.2,377942,Animation,4711096,119
Ford v Ferrari,2019,8.1,364841,Action,117624028,152
Hotel Rwanda,2004,8.1,350630,Biography,23530892,121
Downfall,2004,8.2,349745,Biography,5509040,156
Raging Bull,1980,8.2,345479,Biography,23383987,129
Once Upon a Time in America,1984,8.3,342109,Crime,5321508,229
Seven Samurai,1954,8.6,338401,Action,269061,207
The Deer Hunter,1978,8.1,333096,Drama,48979328,183
My Neighbor Totoro,1988,8.1,326511,Animation,1105564,86
Once Upon a Time in the West,1968,8.5,322859,Western,5321508,165
North by Northwest,1959,8.3,321086,Adventure,13275000,136
Chinatown,1974,8.2,319135,Drama,8486653,130
The Hunt,2012,8.3,318672,Drama,687185,115
Gone with the Wind,1939,8.2,309699,Drama,198676459,238
Before Sunrise,1995,8.1,297917,Drama,5535405,101
Lawrence of Arabia,1962,8.3,287462,Adventure,44824144,218
Some Like It Hot,1959,8.2,261777,Comedy,25000000,121
Dances with Wolves,1990,8,259162,Adventure,184208848,181
The Sting,1973,8.3,257156,Comedy,159600000,129
Before Sunset,2004,8.1,256622,Drama,5820649,80
Cinema Paradiso,1988,8.5,254082,Drama,11990401,155
For a Few Dollars More,1965,8.2,251048,Western,15000000,132
Your Name.,2016,8.4,248763,Animation,5017246,106
The Boat,1981,8.4,246698,Drama,11487676,149
A Separation,2011,8.3,240938,Drama,7098492,123
The Great Escape,1963,8.2,240388,Adventure,12100000,172
Amores perros,2000,8.1,236969,Drama,5383834,154
Modern Times,1936,8.5,236797,Comedy,163245,87
Singin' in the Rain,1952,8.3,236557,Comedy,8819028,103
Ben-Hur,1959,8.1,235156,Adventure,74700000,212
Gandhi,1982,8.1,227662,Biography,52767889,191
The Sound of Music,1965,8.1,225689,Biography,163214286,172
The Great Dictator,1940,8.4,219753,Comedy,288475,125
The Bridge on the River Kwai,1957,8.2,216803,Adventure,44908000,161
The Secret in Their Eyes,2009,8.2,206104,Drama,6391436,129
Wild Tales,2014,8.1,193339,Comedy,3107072,122
Like Stars on Earth,2007,8.3,188111,Drama,1223869,165
Dangal,2016,8.3,181998,Action,12391761,161
City Lights,1931,8.5,181285,Comedy,19181,87
The Apartment,1960,8.3,177858,Comedy,18600000,125
Cool Hand Luke,1967,8.1,174299,Crime,16217773,127
Memories of Murder,2003,8.1,172199,Crime,14131,132
Dial M for Murder,1954,8.2,172120,Crime,12562,105
Incendies,2010,8.3,171523,Drama,6857096,131
Metropolis,1927,8.3,171287,Drama,1236166,153
In the Name of the Father,1993,8.1,171170,Biography,25010410,133
The Third Man,1949,8.1,169212,Film-Noir,449191,93
La Haine,1995,8.1,167747,Crime,309811,98
Rashomon,1950,8.2,165174,Crime,96568,88
Bicycle Thieves,1948,8.3,160490,Drama,332930,89
M,1931,8.3,155009,Crime,28877,99
Double Indemnity,1944,8.3,154037,Crime,5720000,107
On the Waterfront,1954,8.1,152497,Crime,9600000,108
The Handmaiden,2016,8.1,137913,Drama,2006788,145
Rebecca,1940,8.1,134888,Drama,4360000,130
All About Eve,1950,8.2,129387,Drama,10177,138
The Kid,1921,8.3,124293,Comedy,5450000,68
Ran,1985,8.2,123093,Action,4135750,162
The Treasure of the Sierra Madre,1948,8.2,122910,Adventure,5014000,126
Witness for the Prosecution,1957,8.4,121805,Crime,8175000,116
